item_id,annotator,valid,confidence_scale,reason,notes,type
27825344::SEM::0,cyril,1,5,,Début 14h06,SEMANTIC
27825344::SEM::1,cyril,1,5,,,SEMANTIC
27825344::SYN::0,cyril,0,3,,Réponse d'origine incohérente,SYNTACTIC
27825344::SYN::1,cyril,0,3,,Réponse d'origine incohérente,SYNTACTIC
27825344::LEX::0,cyril,0,3,,Réponse d'origine incohérente,LEXICAL
27825344::LEX::1,cyril,0,3,,Réponse d'origine incohérente,LEXICAL
20709047::SEM::0,cyril,1,4,,,SEMANTIC
20709047::SEM::1,cyril,1,4,,,SEMANTIC
20709047::SYN::0,cyril,-1,3,AMBIGUOUS,La question générée semble différente,SYNTACTIC
20709047::SYN::1,cyril,-1,5,DUPLICATE,Doublon,SYNTACTIC
20709047::LEX::0,cyril,-1,3,AMBIGUOUS,La question générée semble différente,LEXICAL
20709047::LEX::1,cyril,-1,3,AMBIGUOUS,La question générée semble différente,LEXICAL
18309156::SEM::0,cyril,1,5,,,SEMANTIC
18309156::SEM::1,cyril,1,1,,,SEMANTIC
18309156::SYN::0,cyril,0,2,,Réponse d'origine incohérente,SYNTACTIC
18309156::SYN::1,cyril,0,2,,Réponse d'origine incohérente,SYNTACTIC
18309156::LEX::0,cyril,0,2,,Réponse d'origine incohérente,LEXICAL
18309156::LEX::1,cyril,0,2,,Réponse d'origine incohérente,LEXICAL
10210992::SEM::0,cyril,-1,1,HALLUCINATION,Pas sûr que la réponse corresponde au contexte,SEMANTIC
10210992::SEM::1,cyril,-1,5,HALLUCINATION,"Le texte porte sur des enfants de 7 ans, le poids de naissance n'est pas mentionné",SEMANTIC
10210992::SYN::0,cyril,-1,5,OUT_OF_SCOPE,"La question générée porte sur la possibilité de prédiction, pas la question d'origine",SYNTACTIC
10210992::SYN::1,cyril,1,5,,,SYNTACTIC
10210992::LEX::0,cyril,-1,5,AMBIGUOUS,"La mention ""young females"" est trop vague par rapport à ""girls""",LEXICAL
10210992::LEX::1,cyril,-1,5,AMBIGUOUS,"La mention ""young females"" est trop vague par rapport à ""girls""",LEXICAL
20875914::SEM::0,cyril,-1,5,AMBIGUOUS,La question générée ne précise pas qu'il s'agit de patientes atteintes d'un cancer vulvaire,SEMANTIC
20875914::SEM::1,cyril,1,3,,,SEMANTIC
20875914::SYN::0,cyril,1,5,,,SYNTACTIC
20875914::SYN::1,cyril,1,5,,"""Predictor of prognosis"" redondant (prédiction d'un pronostic)",SYNTACTIC
20875914::LEX::0,cyril,1,5,,,LEXICAL
20875914::LEX::1,cyril,-1,5,DUPLICATE,Doublon,LEXICAL
27709690::SEM::0,cyril,1,5,,"Faut-il un pluriel à ""was""?",SEMANTIC
27709690::SEM::1,cyril,1,5,,,SEMANTIC
27709690::SYN::0,cyril,1,5,,,SYNTACTIC
27709690::SYN::1,cyril,1,5,,,SYNTACTIC
27709690::LEX::0,cyril,1,5,,,LEXICAL
27709690::LEX::1,cyril,1,3,,La question générée s'éloigne de l'originale,LEXICAL
15898994::SEM::0,cyril,-1,3,HALLUCINATION,Je pense que la question mélange plusieurs informations du contexte,SEMANTIC
15898994::SEM::1,cyril,1,4,,,SEMANTIC
15898994::SYN::0,cyril,1,4,,,SYNTACTIC
15898994::SYN::1,cyril,1,4,,,SYNTACTIC
15898994::LEX::0,cyril,1,5,,,LEXICAL
15898994::LEX::1,cyril,1,5,,,LEXICAL
7486157::SEM::0,cyril,-1,2,SPAN_MISSING,La réponse ne répond pas à la question,SEMANTIC
7486157::SEM::1,cyril,-1,4,SPAN_MISSING,La réponse ne répond pas à la question,SEMANTIC
7486157::SYN::0,cyril,1,5,,,SYNTACTIC
7486157::SYN::1,cyril,-1,5,DUPLICATE,Doublon,SYNTACTIC
7486157::LEX::0,cyril,1,5,,,LEXICAL
7486157::LEX::1,cyril,-1,5,AMBIGUOUS,"La question générée ne mentionne plus ""one-day""",LEXICAL
22580862::SEM::0,cyril,1,4,,Pause 15 minutes,SEMANTIC
22580862::SEM::1,cyril,-1,3,AMBIGUOUS,,SEMANTIC
22580862::SYN::0,cyril,1,5,,,SYNTACTIC
22580862::SYN::1,cyril,1,5,,,SYNTACTIC
22580862::LEX::0,cyril,1,5,,,LEXICAL
22580862::LEX::1,cyril,-1,5,DUPLICATE,Doublon,LEXICAL
16871451::SEM::0,cyril,1,5,,,SEMANTIC
16871451::SEM::1,cyril,-1,4,HALLUCINATION,D'où vient la réponse sur HPV 18 ?,SEMANTIC
16871451::SYN::0,cyril,-1,2,OUT_OF_SCOPE,Pas sûr que le contexte permette de répondre,SYNTACTIC
16871451::SYN::1,cyril,1,4,,,SYNTACTIC
16871451::LEX::0,cyril,-1,3,OUT_OF_SCOPE,Pas sûr que le contexte permette de répondre,LEXICAL
16871451::LEX::1,cyril,-1,3,AMBIGUOUS,La réponse ne répond pas à la question,LEXICAL
26990556::SEM::0,cyril,-1,5,HALLUCINATION,Réponse hors sol,SEMANTIC
26990556::SEM::1,cyril,1,3,,Pas compris,SEMANTIC
26990556::SYN::0,cyril,1,2,,Pas sûr du tout que la question générée n'introduise pas ses informations différentes,SYNTACTIC
26990556::SYN::1,cyril,1,4,,,SYNTACTIC
26990556::LEX::0,cyril,-1,1,AMBIGUOUS,Pas sûr de la formulation de la question générée,LEXICAL
26990556::LEX::1,cyril,-1,5,DUPLICATE,Doublon,LEXICAL
17802829::SEM::0,cyril,-1,3,SPAN_MISSING,La réponse générée est étrange,SEMANTIC
17802829::SEM::1,cyril,1,4,,,SEMANTIC
17802829::SYN::0,cyril,0,5,,"La question de devrait pas introduire le terme ""recherche""",SYNTACTIC
17802829::SYN::1,cyril,-1,4,AMBIGUOUS,"La question de devrait pas introduire le terme ""recherche""",SYNTACTIC
17802829::LEX::0,cyril,0,5,,"La question de devrait pas introduire le terme ""recherche""",LEXICAL
17802829::LEX::1,cyril,0,5,,"La question de devrait pas introduire le terme ""recherche""",LEXICAL
