item_id,annotator,valid,confidence_scale,reason,notes,type
27825344::SEM::0,takuya,0,5,OTHER,"The original Q not grammatical. A part from this fact, the generated Q&A pair is ok.",SEMANTIC
27825344::SEM::1,takuya,0,5,OTHER,"The original Q not grammatical. A part from this fact, the generated Q&A pair is ok.",SEMANTIC
27825344::SYN::0,takuya,1,5,,,SYNTACTIC
27825344::SYN::1,takuya,1,5,,Even if there's no passive.,SYNTACTIC
27825344::LEX::0,takuya,1,5,,,LEXICAL
27825344::LEX::1,takuya,1,5,,The change is minimal.,LEXICAL
20709047::SEM::0,takuya,1,5,,,SEMANTIC
20709047::SEM::1,takuya,1,5,,,SEMANTIC
20709047::SYN::0,takuya,-1,5,"OUT_OF_SCOPE","No passive. ""cathether"" not explicitely mentioned in the text",SYNTACTIC
20709047::SYN::1,takuya,-1,5,"OUT_OF_SCOPE","No passive. ""cathether"" not explicitely mentioned in the text",SYNTACTIC
20709047::LEX::0,takuya,1,5,,,LEXICAL
20709047::LEX::1,takuya,1,5,,,LEXICAL
18309156::SEM::0,takuya,1,5,,,SEMANTIC
18309156::SEM::1,takuya,1,5,,,SEMANTIC
18309156::SYN::0,takuya,-1,5,OTHER,It's not passive,SYNTACTIC
18309156::SYN::1,takuya,1,5,,,SYNTACTIC
18309156::LEX::0,takuya,1,5,,,LEXICAL
18309156::LEX::1,takuya,1,5,,,LEXICAL
10210992::SEM::0,takuya,1,5,,,SEMANTIC
10210992::SEM::1,takuya,1,5,,,SEMANTIC
10210992::SYN::0,takuya,-1,5,OTHER,The Q&A pair does not match.,SYNTACTIC
10210992::SYN::1,takuya,-1,5,OTHER,Not passive,SYNTACTIC
10210992::LEX::0,takuya,0,5,,The Q well formed but is the A correct?,LEXICAL
10210992::LEX::1,takuya,0,5,,The Q well formed but is the A correct?,LEXICAL
20875914::SEM::0,takuya,1,5,,,SEMANTIC
20875914::SEM::1,takuya,1,5,,,SEMANTIC
20875914::SYN::0,takuya,-1,5,OTHER,NO PASSIVE,SYNTACTIC
20875914::SYN::1,takuya,-1,5,OTHER,The Q is a copular sentence; the distinction active/passive does not applicate,SYNTACTIC
20875914::LEX::0,takuya,0,5,,The Q well formed but the (original) A infers what is not clearly demonstrated,LEXICAL
20875914::LEX::1,takuya,-1,5,DUPLICATE,The same Q as the one before,LEXICAL
27709690::SEM::0,takuya,-1,5,OUT_OF_SCOPE,"The Q = ok. In the A, ""based on..."" is not pertinent",SEMANTIC
27709690::SEM::1,takuya,-1,5,DUPLICATE,The Q is minimally modified wrt the precedent one,SEMANTIC
27709690::SYN::0,takuya,-1,5,OTHER,NO PASSIVE,SYNTACTIC
27709690::SYN::1,takuya,-1,5,OTHER,NO PASSIVE,SYNTACTIC
27709690::LEX::0,takuya,0,5,,"The Q = ok, the original A is out of scope",LEXICAL
27709690::LEX::1,takuya,0,5,,"The Q = ok, the original A contains more info than necessary.",LEXICAL
15898994::SEM::0,takuya,1,5,,,SEMANTIC
15898994::SEM::1,takuya,1,5,,,SEMANTIC
15898994::SYN::0,takuya,1,5,,,SYNTACTIC
