item_id,annotator,valid,confidence_scale,reason,notes,type
5706a30b75f01819005e7c90::SEM::0,cyril,1,5,,16h30,SEMANTIC
5706a30b75f01819005e7c90::SEM::1,cyril,1,5,,,SEMANTIC
5706a30b75f01819005e7c90::SYN::0,cyril,-1,5,AMBIGUOUS,La question ne mentionne pas l'Afrique du Sud,SYNTACTIC
5706a30b75f01819005e7c90::SYN::1,cyril,-1,5,AMBIGUOUS,La question ne mentionne pas l'Afrique du Sud,SYNTACTIC
5706a30b75f01819005e7c90::LEX::0,cyril,-1,5,AMBIGUOUS,La question ne mentionne pas l'Afrique du Sud,LEXICAL
5706a30b75f01819005e7c90::LEX::1,cyril,1,5,,,LEXICAL
5706af7575f01819005e7d38::SEM::0,cyril,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SEM::1,cyril,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SYN::0,cyril,1,5,,,SYNTACTIC
5706af7575f01819005e7d38::SYN::1,cyril,-1,5,DUPLICATE,Doublon,SYNTACTIC
5706af7575f01819005e7d38::LEX::0,cyril,1,5,,,LEXICAL
5706af7575f01819005e7d38::LEX::1,cyril,1,5,,,LEXICAL
5a6a6750a9e0c9001a4e9deb::SEM::0,cyril,1,5,,,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SEM::1,cyril,-1,5,DUPLICATE,Doublon,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SYN::0,cyril,0,5,,Question d'origine jugée impossible à répondre,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::SYN::1,cyril,0,5,,Question d'origine jugée impossible à répondre,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::LEX::0,cyril,0,5,,Question d'origine jugée impossible à répondre,LEXICAL
5a6a6750a9e0c9001a4e9deb::LEX::1,cyril,0,5,,Question d'origine jugée impossible à répondre,LEXICAL
5727bb46ff5b5019007d93a0::SEM::0,cyril,1,5,,,SEMANTIC
5727bb46ff5b5019007d93a0::SEM::1,cyril,1,5,,,SEMANTIC
5727bb46ff5b5019007d93a0::SYN::0,cyril,0,5,,"L'acronyme UCC est mentionné dans le nom d'un journal, pas celui de l'éditeur (University of Corck Cxxx ?)",SYNTACTIC
