item_id,annotator,valid,confidence_scale,reason,notes,type
5706a30b75f01819005e7c90::SEM::0,takuya,1,5,,14:20,SEMANTIC
5706a30b75f01819005e7c90::SEM::1,takuya,1,5,,,SEMANTIC
5706a30b75f01819005e7c90::SYN::0,takuya,1,5,,,SYNTACTIC
5706a30b75f01819005e7c90::SYN::1,takuya,1,5,,,SYNTACTIC
5706a30b75f01819005e7c90::LEX::0,takuya,1,5,,,LEXICAL
5706a30b75f01819005e7c90::LEX::1,takuya,1,5,,,LEXICAL
5706af7575f01819005e7d38::SEM::0,takuya,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SEM::1,takuya,1,5,,,SEMANTIC
5706af7575f01819005e7d38::SYN::0,takuya,1,5,,,SYNTACTIC
5706af7575f01819005e7d38::SYN::1,takuya,-1,5,DUPLICATE,,SYNTACTIC
5706af7575f01819005e7d38::LEX::0,takuya,1,5,,,LEXICAL
5706af7575f01819005e7d38::LEX::1,takuya,1,5,,,LEXICAL
5a6a6750a9e0c9001a4e9deb::SEM::0,takuya,1,5,,,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SEM::1,takuya,1,5,,,SEMANTIC
5a6a6750a9e0c9001a4e9deb::SYN::0,takuya,1,5,,,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::SYN::1,takuya,1,5,,,SYNTACTIC
5a6a6750a9e0c9001a4e9deb::LEX::0,takuya,1,5,,,LEXICAL
5a6a6750a9e0c9001a4e9deb::LEX::1,takuya,-1,5,DUPLICATE,,LEXICAL
5727bb46ff5b5019007d93a0::SEM::0,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",SEMANTIC
5727bb46ff5b5019007d93a0::SEM::1,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",SEMANTIC
5727bb46ff5b5019007d93a0::SYN::0,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",SYNTACTIC
5727bb46ff5b5019007d93a0::SYN::1,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",SYNTACTIC
5727bb46ff5b5019007d93a0::LEX::0,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",LEXICAL
5727bb46ff5b5019007d93a0::LEX::1,takuya,0,5,,"Considérant que UCC a été inféré dans la question d'origine à partir de ""the city's university"" (donc la question d'origine correcte)",LEXICAL
57268141f1498d1400e8e20c::SEM::0,takuya,1,5,,,SEMANTIC
