model,em_mean_binary,em_mean,f1_mean,sim_mean,sim_std,unanswerable_rate
20251020_215512_qwen_baseline_N1648_gpus2,0.281,0.0,0.24252354713006835,0.6435536168217659,0.29510607138722034,0.0
20251020_220847_qwen_semantic_N1648_gpus2,0.659,0.0,0.18465352327081894,0.5375033234506845,0.3335869085451981,0.0
20251020_222210_qwen_syntactic_N1648_gpus2,0.321,0.0,0.2423794019277854,0.6517824543118477,0.27896410027197327,0.0
20251020_223609_qwen_lexical_N1648_gpus2,0.277,0.0,0.23360554264661823,0.6257340266108513,0.3036255231276312,0.0
20251020_224939_qwen_all_N1648_gpus2,0.293,0.0,0.19856703831554898,0.5620364639908075,0.3310356903849487,0.0
20251020_230451_qwen_baseline_N3296_gpus2,0.369,0.0,0.3174651517193627,0.7954884813129902,0.09125790666024176,0.0
20251020_232833_qwen_semantic_N3296_gpus2,0.762,0.0,0.20044363355806752,0.6354903196692466,0.2244396933763802,0.0
20251020_235216_qwen_syntactic_N3296_gpus2,0.372,0.0,0.3209282416082352,0.7975318767428398,0.09077827034986835,0.0
20251021_001837_qwen_lexical_N3296_gpus2,0.369,0.0,0.3213995098434468,0.7964047604501248,0.09081008425067089,0.0
20251021_004146_qwen_all_N3296_gpus2,0.367,0.0,0.31102258708612474,0.7845845759958029,0.10923441451298582,0.0
20251021_012812_llama_baseline_N1648_gpus2,0.278,0.0,0.14109217810587313,0.4075841657370329,0.36163695719690203,0.0
20251021_014115_llama_semantic_N1648_gpus2,0.39,0.0,0.06002705841867525,0.2162469461709261,0.3163362090143017,0.0
20251021_015409_llama_syntactic_N1648_gpus2,0.322,0.0,0.14107620834772297,0.43558116064965724,0.3457474476145871,0.0
20251021_020720_llama_lexical_N1648_gpus2,0.265,0.0,0.1394596384927216,0.3987980130314827,0.3659350599897199,0.0
20251021_022050_llama_all_N1648_gpus2,0.189,0.0,0.05827045651455232,0.17948092982172967,0.3097733380391857,0.0
20251021_023427_llama_baseline_N3296_gpus2,0.37,0.0,0.32517243774890664,0.7922151175439358,0.10191328167060959,0.0
20251021_025825_llama_semantic_N3296_gpus2,0.544,0.0,0.1424415098653347,0.4213563076555729,0.3631782201373669,0.0
20251021_032136_llama_syntactic_N3296_gpus2,0.379,0.0,0.3145571476847149,0.78082210201025,0.12024986246423434,0.0
20251021_034704_llama_lexical_N3296_gpus2,0.38,0.0,0.3256161480361877,0.7944265183806419,0.1008081709741425,0.0
20251021_041053_llama_all_N3296_gpus2,0.389,0.0,0.28405270346706785,0.7463192431032658,0.15454630305569314,0.0
gpt4o,0.59,0.0,0.19077896258958327,0.505303890556097,0.3818640685636524,0.0
llama-3.1-8b-instruct,0.62,0.0,0.18778764982870552,0.541455198019743,0.3246631161452833,0.0
qwen2.5-7b-instruct,0.668,0.0,0.27138674623442316,0.7261637853980064,0.18419426699666017,0.0
